"data_main2.TV_Contrib","pred","data_main2.date","daypart_A_model","daypart_B_model","daypart_C_model","daypart_D_model"
1.28e-06,NA,"1/6/2014",1.61650406010051e-06,2.23904321242004e-08,NA,-1.34515261696288e-05
1.91e-06,-7.27735254766709e-06,"1/13/2014",1.61650406010051e-06,3.80637346111407e-08,4.51960582725009e-06,-1.34515261696288e-05
2.23e-06,-7.26638123592623e-06,"1/20/2014",1.61650406010051e-06,4.90350463519989e-08,4.51960582725009e-06,-1.34515261696288e-05
2.39e-06,-7.25870131770763e-06,"1/27/2014",1.61650406010051e-06,5.67149645705996e-08,4.51960582725009e-06,-1.34515261696288e-05
2.47e-06,-7.25332537495461e-06,"2/3/2014",1.61650406010051e-06,6.20909073236201e-08,4.51960582725009e-06,-1.34515261696288e-05
2.51e-06,-7.24956221502749e-06,"2/10/2014",1.61650406010051e-06,6.58540672507345e-08,4.51960582725009e-06,-1.34515261696288e-05
10,1751.18290878613,"2/17/2014",0.207364664702693,1826.62329897466,4.51960582725009e-06,-75.6477593728342
12600,17532.8414681117,"2/24/2014",16138.1964489152,3517.6795217023,37.712507198989,-2160.74700970484
18000,14381.8670054316,"3/3/2014",15833.0820885035,4701.41887761035,16.325853006139,-6168.95981368839
20200,18973.8970281944,"3/10/2014",15683.8586136215,5530.03642674659,246.708157982093,-2486.70617015583
10100,5188.35946181517,"3/17/2014",0.0128578312437348,4779.69421869976,423.103609279431,-14.4512239952575
5050,4553.93578684805,"3/24/2014",0.0298328711399701,4581.53035283894,7.38830088113959,-35.0126997431643
14700,21437.9733790455,"3/31/2014",16049.7890236302,5446.1144594073,17.7176553809158,-75.6477593728342
18800,18308.2698627314,"4/7/2014",15870.7477682693,6051.32333400514,960.724421516247,-4574.52566105932
20900,17755.0703397414,"4/14/2014",15881.4595941436,6474.96954622364,833.272526482027,-5434.63132710783
10400,7188.0835887438,"4/21/2014",0.537636705352379,6533.97292249604,1094.47920470385,-440.906175161445
5230,6174.98026064541,"4/28/2014",0.997362853429682,6653.28545886802,206.984195413187,-686.28675648922
14000,22105.7950616055,"5/5/2014",15903.0858633758,6896.34303362765,315.131016857864,-1008.76485225584
